10-09-2015	git Version:  ad9e04a
id	name	defn	synonyms	is_a id	is_a name
PO:0001055	lemma primordia visible stage	Stage of lemma development that begins when the lemma primordia arise.		PO:0001047	lemma development stage
PO:0001056	lemma differentiation and expansion stage	Stage of lemma development defined by differentiation and expansion of lemma.		PO:0001047	lemma development stage
PO:0001057	fully expanded lemma stage	Stage of lemma development when lemma is fully expanded.		PO:0001047	lemma development stage
PO:0001058	palea primordia visible stage	Stage of palea development that begins when the palea primordia arise.		PO:0001048	palea development stage
PO:0001059	J bicellular pollen stage	Stage of microgametophyte development during which the small generative cell moves inward, becoming completely surrounded by the cytoplasm of the vegetative cell.		PO:0001007	pollen development stage
PO:0001070	palea differentiation and expansion stage	Stage of palea development defined by differentiation and expansion of palea.		PO:0001048	palea development stage
PO:0001071	fully expanded palea stage	Stage of palea development when palea is fully expanded.		PO:0001048	palea development stage
PO:0001072	lodicule primordia visible stage	Stage of lodicule development that begins when the lodicule primordia arise.		PO:0001049	lodicule development stage
PO:0001074	N second mitotic division stage in germinating pollen	Stage of microgametophyte development during which the generative cell undergoes a mitotic division to form two male gametes, the sperm cells.		PO:0001017	M germinated pollen stage
PO:0001077	lodicule differentiation and expansion stage	Stage of lodicule development defined by differentiation and expansion of lodicule.		PO:0001049	lodicule development stage
PO:0001078	plant embryo cotyledonary stage	A plant embryo development stage (PO:0007631) that occurs during the interval between the beginning of rapid elongation of the plant embryo axis (PO:0019018) and plant embryo cotyledons (PO:0025470), and the onset of a plant embryo true leaf formation stage (PO:0001095), when present, or a mature plant embryo stage (PO:0001081).	curled cotyledon stage in Arabidopsis RELATED; torpedo stage in Arabidopsis RELATED	PO:0007631	plant embryo development stage
PO:0001079	fully expanded lodicule stage	Stage of lodicule development when lodicule is fully expanded.		PO:0001049	lodicule development stage
PO:0001081	mature plant embryo stage	A plant embryo development stage (PO:0007631) during the interval between when a plant embryo (PO:0009009) has stopped developmental growth involved in morphogenesis (GO:0060560) and one of the following: the beginning of the seed germination stage (PO:0007057) in seed plants, formation of the first vascular leaf (PO:0009025) in pteridophytes, the beginning of development of a sporangium (PO:0025094) in bryophytes, or the beginning of the formation of a plant organ (PO:0009008) such as a root (PO:0009005), shoot axis (PO:0025029), or vascular leaf (PO:0009025) in a cultured plant embryo (PO:0000010).	mature (stage) in Arabidopsis RELATED	PO:0007631	plant embryo development stage
PO:0001083	inflorescence development stage	A reproductive shoot system development stage (PO:0025530) that has as primary participant a inflorescence (PO:0009049).		PO:0025530	reproductive shoot system development stage
PO:0001094	plant embryo coleoptilar stage	A plant embryo development stage (PO:0007631) that occurs during the interval between the beginning of elongation of the plant embryo axis (PO:0019018), with the formation of a plant embryo coleoptile (PO:0025286), a plant embryo shoot apical meristem (PO:0006362) and root apical meristem (PO:0020147), and ends with the onset of a plant embryo true leaf formation stage (PO:0001095), when present, or a mature plant embryo stage (PO:0001081).	SAM and radicle formation stage RELATED	PO:0007631	plant embryo development stage
PO:0001095	plant embryo true leaf formation stage	A plant embryo development stage (PO:0007631) that occurs during the interval between the beginning of the formation of the first vascular leaf primordium (PO:0000017) in the plant embryo proper (PO:0000001), and the onset of a mature plant embryo stage (PO:0001081).		PO:0007631	plant embryo development stage
PO:0001096	primary endosperm cell stage	One cell stage that takes place following the fertilization, produced by the fusion of sperm cell nucleus and one or more polar nuclei.		PO:0007633	endosperm development stage
PO:0001097	plant zygote stage	A sporophyte development stage (PO:0007134) that occurs during the interval between fertilization and the first cell division of the plant zygote (PO:0000423).	one cell stage RELATED; zygote in Arabidopsis RELATED; zygote stage BROAD	PO:0028002	sporophyte development stage
PO:0001098	formation of starchy endosperm	OBSOLETE. Stage of endosperm development during wich the formation of starchy endosperm occurs.			
PO:0001099	formation of aleurone and starchy layers stage	Differentiation of aleurone layer, the outermost endosperm tissue, and the internal starchy tissue.		PO:0001042	functional specialization of the endosperm stage
PO:0001170	seed development stage	A multi-tissue plant structure development stage (PO:0025571) that has as primary participant a seed (PO:0009010).	seed development in Arabidopsis RELATED	PO:0025571	multi-tissue plant structure development stage
PO:0001180	plant proembryo stage	A plant embryo development stage (PO:0007631) that occurs during the interval between the first cell division of a plant zygote (PO:0000423) and the onset of the plant globular embryo stage (PO:0001185).	eight-celled stage in Arabidopsis RELATED; two-celled stage in Arabidopsis RELATED	PO:0007631	plant embryo development stage
PO:0001185	plant embryo globular stage	A plant embryo development stage (PO:0007631) that occurs during the interval between when a plant embryo proper (PO:0000001) increases in diameter through cell division, but retains radial symmetry (with the concomitant formation of a protoderm (PO:0006210)), and the onset of a plant embryo bilateral stage (PO:0004507).	dermatogen stage in Arabidopsis RELATED; globular stage in Arabidopsis RELATED; late globular stage in Arabidopsis RELATED; mid-globular stage in Arabidopsis RELATED	PO:0007631	plant embryo development stage
PO:0001378	sepals enclosing meristem stage	Stage of calyx development that begins when the developing sepals enclose the floral meristem.	stage 4 flower in Arabidopsis  RELATED	PO:0001044	sepal differentiation and expansion stage
PO:0001380	sepals enclosing flower bud stage	Stage of calyx development that begins when the sepals enclose the floral bud.	sepals enclosing floral bud EXACT; stage 6 flower in Arabidopsis  RELATED	PO:0001044	sepal differentiation and expansion stage
PO:0004500	formation of vascular leaflet primordia stage	A vascular leaf expansion stage (PO:0001052) at which a leaflet primordium (PO:0025481) is initiated on the leaf rachis (PO:0020055) of a compound leaf (PO:0020043).		PO:0001052	vascular leaf expansion stage
PO:0004501	gynoecium differentiation and expansion stage	Stage of gynoecium development defined by differentiation and expansion of carpels.		PO:0007606	gynoecium development stage
PO:0004502	closure of carpel(s) stage	Stage of gynoecium development defined by the closure of the carpel(s).		PO:0007606	gynoecium development stage
PO:0004503	stigma cell differentiation stage	Epidermal cells at the top of developing style differentiate stigma.		PO:0007606	gynoecium development stage
PO:0004504	ovule differentiation and expansion stage	Stage of ovule development defined by differentiation and expansion of ovules.		PO:0007619	ovule development stage
PO:0004505	fertilized ovule stage	The earliest stage of seed development immediately following double fertilization.		PO:0001170	seed development stage
PO:0004506	developing seed stage	Stage of seed development characterized by seed growth and differentiation.		PO:0001170	seed development stage
PO:0004507	plant embryo bilateral stage	A plant embryo development stage (PO:0007631) that occurs during the interval between the transition from radial to bilateral symmetry in a plant embryo proper (PO:0000001) and the onset of either the plant embryo cotyledonary stage (PO:0001078) or the plant embryo coleoptilar stage (PO:0001094).	heart stage in Arabidopsis RELATED; heart-shape stage RELATED; transition stage in maize RELATED; triangle stage in Arabidopsis RELATED	PO:0007631	plant embryo development stage
PO:0007001	early whole plant fruit ripening stage	The early stage in fruit ripening.	09-dough development RELATED; 7 linear grain-filling in maize RELATED; 7.03-early dough in maize RELATED; 7.3 early dough stage/embryo 3 in maize RELATED; 8.03 Early ripening in soybean RELATED; 8.1-early dough stage in rice RELATED; 9.01-early dough RELATED; 9.01-early dough in barley RELATED; 9.01-early dough in oat RELATED; 9.01-early dough in wheat RELATED; BBCH principal growth stage 83 RELATED; dough stage in maize RELATED; early dough stage in maize RELATED; early dough, kernel content soft, about 45% dry matter RELATED; embryo stage 3 in maize RELATED; FR.01 early stage of fruit ripening in Solanaceae RELATED; R4 in maize RELATED; rice growth stage-8.1 RELATED; tomato turning stage RELATED	PO:0007010	whole plant fruit ripening stage
PO:0007002	IE.03 3/4 of inflorescence emerged from flag leaf sheath stage	The stage at which 3/4 of inflorescence has emerged from flag leaf sheath.	6.04-3/4 of inflorescence emerged in barley RELATED; 6.04-3/4 of inflorescence emerged in oat RELATED; 6.04-3/4 of inflorescence emerged in wheat RELATED; 70% of panicle emerged in rice RELATED	PO:0007041	inflorescence emergence stage
PO:0007003	IL.03 full inflorescence length reached stage	An inflorescence detectable phase during which an inflorescence has reached at its full length.	3.4 late vegetative (maize) NARROW; 4.04 full inflorescence length reached in soybean RELATED; VT (maize) NARROW	PO:0007047	whole plant inflorescence detectable stage
PO:0007004	3 rapid growth stage	OBSOLETE.The stage at which the plant grows rapidly by either or both stem elongation and expansion of the rosette/foliage.			
PO:0007005	IL.02 1/2 inflorescence length reached stage	An inflorescence detectable phase during which an inflorescence has reached at least one half of its full length, but has not yet reached its full length.	4.03 1/2 of inflorescence length reached in soybean RELATED	PO:0007047	whole plant inflorescence detectable stage
PO:0007006	IL.00 inflorescence just visible stage	An inflorescence detectable phase during which an inflorescence is just visible, but has not yet reach one quarter of its full length.	4.01 Inflorescence just visible in soybean RELATED; visible flower buds in Arabidopsis RELATED	PO:0007047	whole plant inflorescence detectable stage
PO:0007007	whole plant fruit formation stage 50 to 70%	A whole plant fruit formation stage (PO:0007042) that spans the interval when the average size of fruits (PO:0009001) on a whole plant (PO:0000003) has reached 50% to 70% of its final size.	7.07 Pod 70% of final length in soybean RELATED; 8.02-early milk in barley RELATED; 8.02-early milk in oat RELATED; 8.02-early milk in wheat RELATED; early milk stage RELATED; early milk stage in maize RELATED; FF.03 fruit size 70% in Solanaceae RELATED; late milk RELATED; tomato immature green RELATED; Zadok scale-73, Haun scale-13 RELATED	PO:0007042	whole plant fruit formation stage
PO:0007008	IE.02 1/2 of inflorescence emerged from flag leaf sheath stage	The stage at which 1/2 of inflorescence has emerged from flag leaf sheath.	08-heading RELATED; 6.03-1/2 of inflorescence emerged in barley RELATED; 6.03-1/2 of inflorescence emerged in oat RELATED; 6.03-1/2 of inflorescence emerged in wheat RELATED; first individual flowers visible RELATED; half bloom RELATED; middle of heading RELATED; middle of panicle emergence in rice RELATED; sorghum growth stage-7 RELATED	PO:0007041	inflorescence emergence stage
